input_id,process_id,configuration,process_name,route_id,input_value_raw,input_unit_raw,target_unit,unit_conversion_needed,hourly_cap_guard,sign_convention,sign_check_status,unit_check_status,source_id,source_class,candidate_source_file,evidence_quality,public_reportability,source_status,approval_status,intended_use,required_phase,review_status,promotion_status,missing_evidence_before_approval,approval_blocker,reviewer_notes,notes
PUR01,bf6,baseline_bf_bof,Blast Furnace 6,BASELINE_BF_BOF,retained,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S03,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs reviewed hourly envelope and recipe linkage,Annual public references are not executable hourly limits,Retained baseline BF process only; not an approved operating input.
PUR02,bf7,baseline_bf_bof,Blast Furnace 7,BASELINE_BF_BOF,retained,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S02;S03,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs reviewed hourly envelope and baseline-only activation rule,Phase-1 closure logic still separate from executable approval,Baseline-only BF asset retained for topology review.
PUR03,osf_converters,baseline_bf_bof,Oxystaalfabriek converters,BASELINE_BF_BOF,retained,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S03;S09;S10,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs BOF metallic-mix review and batch-equivalent treatment review,Converter block remains aggregate only at this stage,Aggregate BOF process candidate only.
PUR04,cast_split,baseline_bf_bof,DSP and caster split hub,BASELINE_DOWNSTREAM,retained,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S03;S09,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs downstream split policy review,Public routing shares are not scheduling truth,Downstream split hub only.
PUR05,dsp,baseline_bf_bof,Direct Sheet Plant,BASELINE_DSP_SINK,retained,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S03;S09,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs downstream sink treatment and validation-only anchor handling,Annual public sink values must not become hourly caps,Review-only downstream sink candidate.
PUR06,wbw,baseline_bf_bof,Hot Strip Mill and downstream finishing,BASELINE_SLAB_SINK,retained,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S03;S09,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs slab-import caveat and downstream sink handling review,Public sink values are annual plausibility anchors only,Review-only slab sink candidate.
PUR07,bf6,phase1_hybrid_bf_bof_plus_dri_eaf,Blast Furnace 6,PHASE1_BF_BOF,retained,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S03,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs hybrid-case hourly envelope and route-share review,Annual route anchors must stay non-executable,Hybrid retained BF process only.
PUR08,dri,phase1_hybrid_bf_bof_plus_dri_eaf,DRI plant,PHASE1_DRP_EAF,new,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S02;S03,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs reviewed annual-to-hourly methodology and material recipe selection,Public planning values are not executable hourly behaviour,Core DRI route asset candidate only.
PUR09,eaf,phase1_hybrid_bf_bof_plus_dri_eaf,EAF,PHASE1_DRP_EAF,new,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S03,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs batch-equivalent methodology and metallic-charge review,EAF remains non-continuous in reality and cannot be promoted directly,Core EAF route asset candidate only.
PUR10,new_secondary_met,phase1_hybrid_bf_bof_plus_dri_eaf,New secondary metallurgy for EAF steel,PHASE1_DRP_EAF,modified,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S03,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs aggregate refining-node treatment review,Exact station detail remains unnecessary early,Topologically relevant review row only.
PUR11,wbw,phase1_hybrid_bf_bof_plus_dri_eaf,Hot Strip Mill and downstream finishing,PHASE1_SLAB_SINK,retained,status_flag,status_flag,no,not_applicable,not_applicable_structural,not_applicable_structural,not_applicable_structural,S03,site_public,topology_assets_candidates.csv,high,public,candidate_not_approved,candidate_not_approved,structural_process_review_only,S2,candidate_row_normalised,not_ready,Needs downstream sink handling and slab-import caveat review,Public sink values remain validation anchors only,Hybrid downstream slab sink candidate.
