configuration_id,asset_id,builder_activity_name,operation_class,enforcement,active_builder_scope,contract_status,source_card_path,caveat
C0_current_BF_BOF_reference,coking_plant_1,coking_plant_1,continuous_must_run,fix_on_over_horizon,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/Coking_Plants_Parameters.md,Fixed on only; throughput remains quota-driven within the governed minimum and maximum rate bounds.
C0_current_BF_BOF_reference,coking_plant_2,coking_plant_2,continuous_must_run,fix_on_over_horizon,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/Coking_Plants_Parameters.md,Fixed on only; throughput remains quota-driven within the governed minimum and maximum rate bounds.
C0_current_BF_BOF_reference,sintering_plant,sintering_plant,continuous_must_run,fix_on_over_horizon,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/SINTER_Parameters.md,Fixed on only; throughput remains quota-driven within the governed minimum and maximum rate bounds.
C0_current_BF_BOF_reference,blast_furnace_6,blast_furnace_6,continuous_must_run,fix_on_over_horizon,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/Blast_Furnace_Parameters.md,Fixed on only; throughput remains quota-driven within the governed minimum and maximum rate bounds.
C0_current_BF_BOF_reference,blast_furnace_7,blast_furnace_7,continuous_must_run,fix_on_over_horizon,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/Blast_Furnace_Parameters.md,Fixed on only; throughput remains quota-driven within the governed minimum and maximum rate bounds.
C0_current_BF_BOF_reference,basic_oxygen_furnace,basic_oxygen_furnace,batch_equivalent,no_extra_commitment,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/BOF_OSF_Parameters.md,No invented heat scheduling in hourly model.
C0_current_BF_BOF_reference,hot_strip_mill,hot_strip_mill,bounded_downstream,no_extra_commitment,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/HSM_Parameters.md,Final-product output remains quota-driven.
C1_phase1_BF_BOF_plus_DRP_EAF,coking_plant_1,coking_plant_1,continuous_must_run,fix_on_over_horizon,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/Coking_Plants_Parameters.md,Fixed on only; no unsupported fixed throughput or WAG/NG split.
C1_phase1_BF_BOF_plus_DRP_EAF,sintering_plant,sintering_plant,continuous_must_run,fix_on_over_horizon,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/SINTER_Parameters.md,Fixed on only; no invented ramp.
C1_phase1_BF_BOF_plus_DRP_EAF,blast_furnace_6,blast_furnace_6,continuous_must_run,fix_on_over_horizon,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/Blast_Furnace_Parameters.md,Fixed on only; output remains within source-card min/max bounds.
C1_phase1_BF_BOF_plus_DRP_EAF,basic_oxygen_furnace,basic_oxygen_furnace,batch_equivalent,no_extra_commitment,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/BOF_OSF_Parameters.md,No invented heat scheduling or fixed route output.
C1_phase1_BF_BOF_plus_DRP_EAF,hot_strip_mill,hot_strip_mill,bounded_downstream,no_extra_commitment,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/HSM_Parameters.md,HSM or DSP final product remains endogenous.
C1_phase1_BF_BOF_plus_DRP_EAF,NG_DRP,drp_pellet_input,continuous_must_run,fix_on_over_horizon,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,Fixed on only within the existing Athanasiadis-derived operating band.
C1_phase1_BF_BOF_plus_DRP_EAF,EAF,eaf_dri_input,batch_equivalent,no_extra_commitment,yes,accepted_development,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,Existing semi-continuous EAF commitment remains unchanged.
C1_phase1_BF_BOF_plus_DRP_EAF,direct_sheet_plant,,route_interface,reporting_only,no,diagnostic_only,data/03_Optimisation/inputs/assets/steel/source_cards/DSP_Parameters.md,DSP origin is tracked by existing downstream interface; no route share is forced.
